opendb_id,metadata_name,metadata_manufacturer,metadata_series,metadata_variant,metadata_releaseYear,_source_file,cache,capacity,form_factor,general_product_information_amazon_sku,general_product_information_bestbuy_sku,general_product_information_ibuypower_sku,general_product_information_manufacturer_url,general_product_information_newegg_sku,general_product_information_walmart_sku,interface,lighting,metadata_last_manually_spec_verified_at,metadata_part_numbers,nvme,storage_type,type
24b434b0-af5d-487d-8330-c14904487f53,ADATA XPG GAMMIX S70 Blade 2TB SSD M.2-2280 PCIe 4.0 X4 NVMe,ADATA,XPG,2000GB,,24b434b0-af5d-487d-8330-c14904487f53.json,,2000,M.2-2280,B08NY455CZ,6486460,28477,,N82E16820246056,144413904,M.2 PCIe 4.0 x4,,,AGAMMIXS70B-2T-CS | AGAMMIXS70-2T-C,True,SSD,SSD
252e0a1d-bd20-4677-98a3-90f2bb51ff9b,"Hitachi Ultrastar 1TB 7200RPM HDD 3.5"" SATA",Hitachi,Ultrastar,1000GB,,252e0a1d-bd20-4677-98a3-90f2bb51ff9b.json,,1000,"3.5""",,,,,,,SATA 6.0 Gb/s,,,HUA722010CLA330,False,HDD,HDD
25578fa9-d68e-421c-80cf-f2aba8deb8aa,"Mushkin ELEMENT 512GB SSD 2.5"" SATA 6.0 Gb/s",Mushkin,ELEMENT,512GB,,25578fa9-d68e-421c-80cf-f2aba8deb8aa.json,,512,"2.5""",B0B7Y5RLWT,,,,,3554844087,SATA 6.0 Gb/s,,,MKNSSDEL512GB | MKNSSDS2,False,SSD,SSD
255a4bd4-2c5c-469e-b4f4-23121f46657e,"TEAMGROUP GX1 120GB SSD 2.5"" SATA",TEAMGROUP,GX1,120GB,,255a4bd4-2c5c-469e-b4f4-23121f46657e.json,,120,"2.5""",B07SD64GDS,,,,,783694971,SATA 6.0 Gb/s,,,T253X1120G0C101 | GX1,False,SSD,SSD
255b6013-25ed-499b-b3a7-fb41fc0fcd4c,Klevv CRAS C925 500GB SSD M.2-2280 PCIe 4.0 x4 NVMe,Klevv,CRAS,500GB,,255b6013-25ed-499b-b3a7-fb41fc0fcd4c.json,,500,M.2-2280,B0D8PN7CS7,,,,,,M.2 PCIe 4.0 x4,,,K500GM2SP0-C9T | C925,True,SSD,SSD
2570b5c6-c136-4646-92e8-1333ab6fa2ab,FanXiang S500 Pro 512GB M.2-2280 SSD PCIe 3.0 X4 NVMe,FanXiang,S500,512GB,,2570b5c6-c136-4646-92e8-1333ab6fa2ab.json,,512,M.2-2280,B0B55R7PYB,,,,,,M.2 PCIe 3.0 x4,,,S500 Pro - 512GB - M.2 SSD | 512 nvme ssd - S500 Pro | S500 Pro - 512gb m.2 ssd | S500 Pro,True,SSD,SSD
25892677-f6c2-41f1-81a2-f5867846405c,"Samsung Spinpoint F3 160GB 3.5"" HDD SATA",Samsung,Spinpoint,160GB,,25892677-f6c2-41f1-81a2-f5867846405c.json,,160,"3.5""",,,,,,,SATA 3.0 Gb/s,,,HD163GJ,False,HDD,HDD
25964957-acdc-4150-98a4-ffbd4cc4380b,"Seagate Exos X24 SED 24TB HDD 3.5"" SATA",Seagate,Exos,24000GB,,25964957-acdc-4150-98a4-ffbd4cc4380b.json,,24000,"3.5""",,,,,,,SATA 6.0 Gb/s,,,ST24000NM001H,False,HDD,HDD
25beb8ef-d35a-4847-9750-009bd5fcf9c8,"AMD Radeon R3 480GB SSD 2.5"" SATA 6.0 Gb/s",AMD,Radeon,480GB,,25beb8ef-d35a-4847-9750-009bd5fcf9c8.json,,480,"2.5""",,,,,,,SATA 6.0 Gb/s,,,R3 480GB | SSDR3SL480G | R3SL480G,False,SSD,SSD
25c1a84a-d081-4147-b854-4f1c1ec589fc,Lexar PLAY 8TB SSD M.2-2280 PCIe 4.0 X4 NVMe,Lexar,PLAY,8000GB,,25c1a84a-d081-4147-b854-4f1c1ec589fc.json,,8000,M.2-2280,B0DG6TKX9Y,,,,,,M.2 PCIe 4.0 x4,,,LNMPLY8008T-RNNNU,True,SSD,SSD
25dcf94e-9180-48f4-8c9e-3eb54c3cd025,"Western Digital VelociRaptor 150GB HDD 3.5"" SATA",Western Digital,VelociRaptor,150GB,,25dcf94e-9180-48f4-8c9e-3eb54c3cd025.json,,150,"3.5""",B001EQQW1A,,,,,,SATA 3.0 Gb/s,,,WD1500HLFS,False,HDD,HDD
25f8746b-7df2-4b77-a596-9090a1eaef3b,"Toshiba X300 Pro 12TB 3.5"" HDD 7200RPM SATA 6.0 Gb/s",Toshiba,X300,12000GB,,25f8746b-7df2-4b77-a596-9090a1eaef3b.json,,12000,"3.5""",B09TQ7VT42,,,,N82E16822149814,1796147144,SATA 6.0 Gb/s,,,HDWR51CXZSTB,False,HDD,HDD
260f5776-953b-4320-9039-0e2376686445,"VisionTek 901414 8TB SSD 2.5"" SATA",VisionTek,901414,8000GB,,260f5776-953b-4320-9039-0e2376686445.json,,8000,"2.5""",,,,,,,SATA 6.0 Gb/s,,,901414,False,SSD,SSD
2630dc7b-9228-41bb-8364-5abbc07dddf5,Western Digital Black AN1500 2TB SSD PCIe NVMe,Western Digital,Black,2000GB,,2630dc7b-9228-41bb-8364-5abbc07dddf5.json,,2000,PCIe,,,,,,,M.2 PCIe 3.0 x8,,,WDS200T1X0L-00AUJ0,True,SSD,SSD
2692715c-d3d0-481d-8c70-238efcbacdec,Seagate BarraCuda 520 512GB M.2 SSD PCIe 4.0 NVMe,Seagate,BarraCuda,512GB,,2692715c-d3d0-481d-8c70-238efcbacdec.json,,512,M.2-2280,,,,,,,M.2 PCIe 4.0 x4,,,ZP512CM3A002,True,SSD,SSD
