storage_id,motherboard_id,storage_capacity,storage_type,storage_form_factor,storage_interface,storage_nvme,motherboard_m2_slots,motherboard_pcie_slots,motherboard_form_factor,motherboard_ram_type,storage_m2_slot_ok,label
e226656d-74f6-43f6-addb-af20f5bc36ff,51f33daf-1fa3-4477-b6f9-0d7fcd1a4151,1000.0,SSD,M.2-2280,M.2 PCIe 4.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3abc6b27c54a042cfee58""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3abc6b27c54a042cfee59""}]",Micro ATX,DDR4,1,1
2eba0d43-ccb9-47ca-b0ff-e57c6b3ffed5,ed34b1d5-0e71-4498-ac85-89801a0e22ba,8000.0,HDD,"3.5""",SATA 6.0 Gb/s,false,2230|2242|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac8e75ef0cf5df01a637""}]",Mini ITX,DDR4,0,0
6a6dcc47-70f2-48e7-a8e1-798ad56ccc68,3902f4b5-6e77-4e19-872c-40e7ef4182c2,12000.0,HDD,"3.5""",SATA 6.0 Gb/s,false,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3ab9c843b62bf624cc1c6""}, {""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 1, ""_id"": ""69b3ab9c843b62bf624cc1c7""}]",ATX,DDR3,0,0
ba479f66-0754-426c-9cab-bc998888518a,65aa27f5-217c-4d9f-b604-7fc1c5b54ba4,2000.0,SSD,M.2-2280,M.2 PCIe 4.0 x4,true,2260|2280,"[{""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 16, ""_id"": ""69b3abddc0db8dfe4bc7377e""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3abddc0db8dfe4bc7377f""}]",ATX,DDR3,1,1
00238939-8d02-4070-8025-8c959c5e7b5f,7d0456ea-4be0-470b-bd90-3a88fe2f586a,8000.0,SSD,M.2-2280,M.2 PCIe 4.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 16, ""_id"": ""69b3abf3b27c54a042d000d3""}, {""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 1, ""_id"": ""69b3abf3b27c54a042d000d4""}]",ATX,DDR4,1,1
e2332a8b-caba-4758-a4c4-91b2a22ea6f3,340e50d8-def3-4994-96e9-6dfdb87f76f9,240.0,SSD,"2.5""",SATA 6.0 Gb/s,false,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 16, ""_id"": ""69b3ab9f4fd4af70a349c645""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ab9f4fd4af70a349c646""}]",ATX,DDR4,0,0
b92a66f5-2b07-44c1-94a6-0223e12c26a3,2e981515-1dd4-4615-8df5-7abe40249b3f,8000.0,SSD,M.2-2280,M.2 PCIe 4.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3ab8b4fd4af70a349c1f2""}, {""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 1, ""_id"": ""69b3ab8b4fd4af70a349c1f3""}]",ATX,DDR3,1,1
a0aea000-8d42-41bd-aec0-f32cc3ac1dd9,f061f9c6-05cb-4c82-8882-7c79b286dfa3,1000.0,SSD,M.2-2280,M.2 PCIe 4.0 x4,true,2260|2280,"[{""gen"": ""5.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 4}]",Micro ATX,DDR5,1,1
fd703bf6-4bc7-4b44-a13b-d1bc62a202c3,5500748e-76b5-4974-af61-0b21e3f0308b,2000.0,SSD,M.2-2280,M.2 PCIe 4.0 x4,true,2280|22110,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3abc0cf841c9bc5aa321a""}]",Micro ATX,DDR5,1,1
84f9bc42-8e7c-4b9e-aae5-1cdc3a2f8fdd,362ea07c-7b2b-42e9-a190-7365cd69e4d7,1000.0,SSD,M.2-2280,M.2 PCIe 4.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3abab744e69396d55dad8""}, {""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 1, ""_id"": ""69b3abab744e69396d55dad9""}]",ATX,DDR4,1,1
5e37427d-2820-4cff-96b8-b28bf5b76476,5f0ab7fd-5e58-4b2b-9627-0f4c517b51d1,512.0,SSD,"2.5""",SATA 6.0 Gb/s,false,2260|2280|22110,"[{""gen"": ""5.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""3.0"", ""quantity"": 1, ""lanes"": 1}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 4}]",ATX,DDR5,0,0
c879cd7f-8811-4614-b910-cf565722ed69,4ef205c4-4eca-4d98-9b16-22f1e94b0330,256.0,SSD,"2.5""",SATA 6.0 Gb/s,false,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3abb87d50ea703048f99c""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3abb87d50ea703048f99d""}]",Micro ATX,DDR4,0,0
19559119-1521-469c-a904-8e9a66a18ba0,e79d185c-acbc-4383-be2f-689c50b54913,240.0,SSD,"2.5""",SATA 6.0 Gb/s,false,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac9f3f8fd0c825de6f7d""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3ac9f3f8fd0c825de6f7e""}]",Micro ATX,DDR5,0,0
