cooler_id,case_id,cooler_fan_size,cooler_fan_quantity,radiator_size,cooler_height,case_cooler_clearance,height_difference,cooler_case_height_ok,case_form_factor,label
db06c4df-cb65-4120-bc16-3e695e773100,c6357f7d-5982-403c-b336-71af81046f87,90.0,1,,136.0,180.0,44.0,1,ATX Mid Tower,1
fa9e708d-95cc-4554-92a1-4712ae2d4836,5e12f8fa-ec40-47a5-9bfa-2edaf1eb5694,,,,30.0,170.0,140.0,1,ATX Mid Tower,1
f8e0d879-e170-4ba6-b0dd-c3cfe5889f9c,56891729-857b-4606-a555-923b4ed32ec3,,,,152.0,68.0,-84.0,0,Mini ITX Tower,0
408b6e6d-a444-4af8-bc77-8b4461d73a5b,377449ff-c468-48aa-a584-af3cd5afc132,,,,160.0,61.0,-99.0,0,Mini ITX Tower,0
5621709a-5393-4b76-8407-c276276d25d9,145beda7-2317-47a8-beda-cf319153d67d,,,,146.0,120.0,-26.0,0,Mini ITX Tower,0
66e3a215-7743-4613-a8ad-0613618114f9,377449ff-c468-48aa-a584-af3cd5afc132,,,,68.0,61.0,-7.0,0,Mini ITX Tower,0
67bfac18-8481-42ea-a3cc-5e581b117fed,9fea13eb-b0cf-4474-a2b6-bac5bc776943,120.0,,,148.0,145.0,-3.0,0,ATX Mid Tower,0
af8a281b-6a1a-4ef3-bc7b-d00e8a3dc9bd,94d1a53a-5506-4f11-8094-c44a2bb75c0f,,,,75.0,70.0,-5.0,0,Mini ITX Tower,0
ded9ff07-eba5-4935-9696-849498575ce5,271ac65d-6af5-4159-a76e-b5e8fc9d38a3,,,,158.0,175.0,17.0,1,ATX Mid Tower,1
559fa01d-a3e1-4da4-90ad-7029061e3777,b129b1ee-5136-46e6-a132-d292b283e54e,120.0,2,,157.0,155.0,-2.0,0,ATX Mid Tower,0
be19910c-6274-4c03-8354-04cd5e141339,aef535d3-c0c1-4b92-8a72-72a784575b61,,,,169.0,167.0,-2.0,0,ATX Mid Tower,0
abf47a03-4000-42e2-85d5-ed811fc9a514,e65be103-0c8b-4b59-a9f8-f226c8a931c9,,,,136.0,165.0,29.0,1,ATX Mid Tower,1
f02ac039-cbb7-4678-85f8-5c811033c614,614f1f9d-3fdc-4c9d-9744-55a36e647a9b,,,,158.0,155.0,-3.0,0,Micro ATX Mid Tower,0
2538d2c8-2db7-4bab-b7b3-b84f257a76e0,220e6430-b81d-44ef-a838-36334295c5a8,,,,157.0,114.0,-43.0,0,Mini ITX Tower,0
