gpu_memory,gpu_memory_type,gpu_tdp,gpu_length,gpu_slot_width,case_gpu_clearance,case_form_factor,length_difference,label
6.0,GDDR6,120.0,204.0,2.0,200.0,Micro ATX Mini Tower,-4.0,0
16.0,GDDR6,300.0,320.0,3.0,315.0,ATX Mid Tower,-5.0,0
8.0,GDDR7,180.0,300.0,2.0,320.0,ATX Mid Tower,20.0,1
8.0,GDDR7,145.0,228.0,2.5,315.0,ATX Mid Tower,87.0,1
8.0,GDDR6,185.0,307.0,3.0,364.0,ATX Mid Tower,57.0,1
4.0,GDDR5,75.0,221.0,2.0,360.0,ATX Mid Tower,139.0,1
12.0,GDDR6X,350.0,294.0,,267.0,Mini ITX Tower,-27.0,0
16.0,GDDR6X,285.0,334.0,3.0,322.0,ATX Full Tower,-12.0,0
16.0,GDDR6X,320.0,330.0,3.0,300.0,Mini ITX Tower,-30.0,0
16.0,GDDR6X,320.0,348.0,4.0,330.0,ATX Mid Tower,-18.0,0
12.0,GDDR6,190.0,260.0,3.0,360.0,Micro ATX Mid Tower,100.0,1
12.0,GDDR7,250.0,329.0,3.125,320.0,ATX Mid Tower,-9.0,0
8.0,GDDR6,185.0,268.0,2.0,360.0,ATX Mid Tower,92.0,1
8.0,GDDR6X,265.0,323.0,2.8,320.0,Mini ITX Tower,-3.0,0
8.0,GDDR7,180.0,300.0,2.2,400.0,ATX Mid Tower,100.0,1
2.0,GDDR5,30.0,168.0,1.0,420.0,ATX Mid Tower,252.0,1
8.0,GDDR6X,225.0,232.0,3.0,350.0,ATX Mid Tower,118.0,1
12.0,GDDR6,245.0,279.0,3.0,440.0,ATX Mid Tower,161.0,1
16.0,GDDR6,391.0,320.0,3.0,440.0,ATX Mid Tower,120.0,1
12.0,GDDR6X,285.0,300.0,3.0,350.0,Micro ATX Mid Tower,50.0,1
8.0,GDDR6,180.0,305.0,3.0,296.0,Micro ATX Mid Tower,-9.0,0
8.0,GDDR6,280.0,335.0,3.0,315.0,Micro ATX Mid Tower,-20.0,0
24.0,GDDR6X,450.0,358.0,4.0,330.0,Micro ATX Mini Tower,-28.0,0
12.0,GDDR7,250.0,331.9,3.0,330.0,ATX Mid Tower,-1.9,0
8.0,GDDR5,275.0,305.0,3.0,279.0,HTPC,-26.0,0
16.0,GDDR6X,285.0,329.0,4.0,320.0,Micro ATX Desktop,-9.0,0
12.0,GDDR6,170.0,301.0,3.0,530.0,ATX Full Tower,229.0,1
12.0,GDDR6X,285.0,338.0,4.0,420.0,ATX Mid Tower,82.0,1
16.0,GDDR6X,285.0,307.0,3.0,295.0,Mini ITX Tower,-12.0,0
16.0,GDDR6,263.0,332.0,3.0,255.0,Mini ITX Tower,-77.0,0
16.0,GDDR6,304.0,360.0,4.0,315.0,ATX Mid Tower,-45.0,0
16.0,GDDR6,260.0,320.0,3.0,305.0,ATX Mid Tower,-15.0,0
8.0,GDDR6,225.0,305.0,3.0,267.0,Mini ITX Tower,-38.0,0
8.0,GDDR6,750.0,319.0,2.0,370.0,ATX Mid Tower,51.0,1
16.0,GDDR7,360.0,280.0,2.55,255.0,Mini ITX Tower,-25.0,0
16.0,GDDR6,220.0,332.0,3.0,330.0,Mini ITX Tower,-2.0,0
12.0,GDDR6,170.0,242.0,2.0,360.0,ATX Full Tower,118.0,1
16.0,GDDR6,165.0,300.0,3.0,455.0,ATX Mid Tower,155.0,1
12.0,GDDR6X,200.0,338.0,3.0,335.0,Mini ITX Tower,-3.0,0
