cooler_height,case_cooler_clearance,cooler_fan_size,cooler_fan_quantity,radiator_size,case_form_factor,height_difference,label
47.0,185.0,,,,ATX Mid Tower,138.0,1
157.0,174.0,,,,ATX Mid Tower,17.0,1
42.0,170.0,,,240.0,ATX Mid Tower,128.0,1
81.0,190.0,,,,ATX Mid Tower,109.0,1
160.0,210.0,,,,Micro ATX Mid Tower,50.0,1
160.0,175.0,,,,ATX Mid Tower,15.0,1
135.0,83.0,,,,Mini ITX Tower,-52.0,0
158.0,170.0,120.0,2,,ATX Mid Tower,12.0,1
159.0,70.0,,,,HTPC,-89.0,0
94.0,170.0,140.0,3,420.0,ATX Mid Tower,76.0,1
165.0,156.0,,,,ATX Mid Tower,-9.0,0
150.0,65.0,,,,HTPC,-85.0,0
60.0,163.0,120.0,3,360.0,ATX Mid Tower,103.0,1
157.0,156.0,,,,ATX Mid Tower,-1.0,0
26.0,155.0,,,,Micro ATX Mid Tower,129.0,1
158.0,151.0,,,,ATX Mid Tower,-7.0,0
157.0,75.0,,,,Mini ITX Tower,-82.0,0
160.0,70.0,135.0,1,,HTPC,-90.0,0
158.0,155.0,,,,ATX Mid Tower,-3.0,0
63.0,180.0,,,,ATX Mid Tower,117.0,1
157.0,148.0,,,,ATX Mid Tower,-9.0,0
47.0,165.0,,,,Micro ATX Mini Tower,118.0,1
166.0,160.0,,,,ATX Mid Tower,-6.0,0
153.0,68.0,,,,Mini ITX Tower,-85.0,0
171.0,160.0,,,,ATX Mini Tower,-11.0,0
166.0,160.0,120.0,,,ATX Mid Tower,-6.0,0
168.0,165.0,120.0,,,ATX Mid Tower,-3.0,0
170.0,168.0,,,,ATX Mid Tower,-2.0,0
30.4,155.0,120.0,2,240.0,Micro ATX Mini Tower,124.6,1
56.0,55.0,,,240.0,Mini ITX Tower,-1.0,0
160.0,70.0,,,,HTPC,-90.0,0
159.0,158.0,,,,ATX Mid Tower,-1.0,0
125.0,165.0,,,,ATX Mid Tower,40.0,1
38.0,168.0,140.0,2,240.0,ATX Mid Tower,130.0,1
107.0,67.0,120.0,3,360.0,Mini ITX Tower,-40.0,0
165.0,160.0,,,,ATX Mid Tower,-5.0,0
154.0,163.0,,,,ATX Mid Tower,9.0,1
