psu_wattage,psu_form_factor,psu_length,psu_efficiency,case_supported_psu,case_psu_clearance,label
850.0,ATX,140.0,80+ PLATINUM,ATX,180.0,1
530.0,ATX,140.0,80+,SFX | SFX-L,,0
750.0,SFX,100.0,80+ GOLD,ATX,220.0,0
400.0,ATX,140.0,80+ BRONZE,ATX,220.0,1
1350.0,ATX,180.0,80+ GOLD,Flex ATX,,0
430.0,ATX,139.0,80+,ATX,180.0,1
550.0,ATX,140.0,80+ PLATINUM,ATX,,1
850.0,ATX,180.0,80+ GOLD,ATX,220.0,1
650.0,ATX,160.0,80+ PLATINUM,ATX,200.0,1
550.0,ATX,150.0,80+ GOLD,SFX | SFX-L,,0
600.0,SFX,100.0,80+ PLATINUM,ATX,,0
1000.0,ATX,160.0,80+ GOLD,ATX,182.0,1
400.0,SFX,100.0,80+ BRONZE,ATX,220.0,0
850.0,SFX,104.0,80+ PLATINUM,ATX,220.0,0
500.0,ATX,169.0,80+ PLATINUM,ATX,160.0,0
1200.0,ATX,160.0,80+ PLATINUM,ATX,160.0,1
1500.0,ATX,219.0,80+ SILVER,ATX,200.0,0
600.0,ATX,165.0,80+ BRONZE,ATX,220.0,1
300.0,SFX,100.0,80+ BRONZE,ATX,,0
750.0,ATX,180.0,80+ GOLD,ATX,170.0,0
1300.0,ATX,210.0,80+ TITANIUM,ATX,200.0,0
750.0,ATX,160.0,80+ BRONZE,SFX | SFX-L,,0
850.0,ATX,160.0,80+ GOLD,SFX | SFX-L,,0
1000.0,ATX,150.0,80+ GOLD,ATX,180.0,1
850.0,ATX,182.0,80+ GOLD,SFX | SFX-L,,0
1000.0,ATX,189.0,80+ GOLD,ATX,180.0,0
700.0,ATX,140.0,80+ BRONZE,ATX,223.0,1
700.0,ATX,140.0,80+ BRONZE,SFX | SFX-L,,0
1000.0,ATX,140.0,80+ GOLD,ATX,220.0,1
1500.0,ATX,180.0,80+ PLATINUM,ATX,,1
1200.0,ATX,140.0,80+ GOLD,SFX | SFX-L,,0
750.0,ATX,145.0,80+ GOLD,ATX,160.0,1
1000.0,ATX,220.0,80+ GOLD,ATX,160.0,0
450.0,ATX,140.0,80+,ATX,223.0,1
500.0,Flex ATX,150.0,80+ GOLD,ATX,160.0,0
850.0,ATX,160.0,80+ GOLD,SFX | SFX-L,,0
850.0,ATX,140.0,80+ GOLD,ATX,,1
750.0,ATX,160.0,80+ PLATINUM,SFX | SFX-L,,0
750.0,ATX,140.0,80+ GOLD,ATX,220.0,1
1000.0,SFX,130.0,80+ PLATINUM,ATX,220.0,0
1000.0,ATX,150.0,80+ GOLD,ATX,220.0,1
