motherboard_id,case_id,motherboard_form_factor,case_supported_motherboards,motherboard_ram_type,motherboard_memory_slots,case_form_factor,form_factor_match,label
122cdf6d-d812-4f5a-b9c5-00505eca2acb,d0d1f419-384d-4121-a8c8-cd87c677016d,Micro ATX,Mini-ITX,DDR4,4,Mini ITX Tower,0,0
a45fa945-9890-4e0a-ab92-4cdab881ee31,75f72a5a-7683-46a9-a882-d969038c4517,XL ATX,Micro ATX | Mini-ITX,DDR4,8,Micro ATX Mini Tower,0,0
bfc721ac-d184-4b90-b183-aa4d56cc92c0,5ddc4529-039f-4df8-9e66-a84fd0c1786f,ATX,Mini-ITX,DDR4,4,Mini ITX Tower,0,0
896375f0-3530-4490-abb8-11900d51e02e,dbef6788-d3fc-4413-ab07-e01e7cf503eb,EATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,0,0
f999de7c-44a1-47e0-a95d-b883737d430c,a6358f37-2900-4df8-820c-eba995a1efca,Mini ITX,ATX | Micro ATX | Mini-ITX,DDR4,2,ATX Mid Tower,0,0
8f2269ae-d885-44a6-949c-69ad5f5a9b2d,47f9020e-3612-40b1-8449-95477d170ae0,EATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,0,0
68371406-6d5d-4403-a8e8-3c62f8abe4e5,1f7156f7-8014-4dd9-a1d4-8a827b8be4a1,Micro ATX,Mini-ITX,DDR4,4,Mini ITX Tower,0,0
539f541e-58b0-4d8a-918b-24b539cf412e,5108facc-e594-4782-a206-2d213c21a1c0,ATX,Mini-ITX,DDR5,4,Mini ITX Tower,0,0
8ae29834-939e-463c-96c7-2896f81702a8,5d0cb6aa-f9bb-4222-a342-a9fa87181ee6,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
1e962e41-f88e-4a8d-b426-f29adcbf4747,e3ed09df-4925-45e4-bfbe-960872e61795,ATX,Micro ATX | Mini-ITX,DDR5,4,Micro ATX Mini Tower,0,0
5cd1f8dc-b0e4-4f49-b97e-ff2d3a826957,9f57b0cc-14e5-4198-9ee1-a7c2ce5d43db,ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
14d30c96-3712-4388-b4a0-49076859570e,0a94886c-7806-4dcb-9cbc-8908cb660dc6,ATX,Micro ATX | Mini-ITX,DDR3,4,Micro ATX Slim Tower,0,0
69a676e3-f33d-4262-9ad2-e05a537dab56,7b0c6c9d-7334-4365-9444-757a8ccd3933,ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
17fec0ff-0076-4420-9744-09cef62a2eed,54a86cb3-4999-49fe-a855-8a009773f07b,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR3,2,ATX Mid Tower,1,1
4141bad1-384e-4ab1-81b3-75bbcef6f53b,15052a79-5209-4827-86e3-4a7027f23303,Mini ITX,ATX | Micro ATX | Mini-ITX,DDR5,2,ATX Mid Tower,0,0
04323a91-9f44-4101-8473-66f7db0cf6b3,4ea145d1-e26c-4819-92e2-d06ac9c75d5c,Micro ATX,Mini-ITX,DDR4,2,Mini ITX Tower,0,0
c9974d57-0526-4a5a-8d8c-4c33026e939e,ebe1c2e2-e5b8-4aad-a1ef-57a1c8084e79,ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
4ba12163-ff0c-4f1f-8829-d601dab583b2,1f7aff78-762c-49a7-9c5d-908916224509,EATX,ATX | Micro ATX | Mini-ITX,DDR4,8,ATX Mid Tower,0,0
47b63b01-50a9-46c8-929e-4afbfedeafe3,48aed89a-8827-4de1-9472-e33d7b3816fd,EATX,Micro ATX | Mini-ITX,DDR5,4,Micro ATX Mini Tower,0,0
7f22b86d-d76f-4380-880e-a251d41faea5,d2ebed0d-77d6-4682-9cad-b1372e5c5bd2,Mini ITX,Mini-ITX,DDR5,2,Mini ITX Tower,0,0
a8739852-507f-422e-9069-ed8799d21bc2,d5af6f61-36da-4227-ab9c-b59817079745,Mini ITX,Mini-ITX,DDR5,2,Mini ITX Tower,0,0
6872aa7b-6c1f-41e1-a357-8f7d24ee55e0,72a8ef6b-c669-4b41-9cda-428c125ce166,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
7dd5b755-3458-4f95-99a1-1e9a2f6d824d,cb373649-116c-4713-aeba-0667fe35eab8,SSI CEB,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Full Tower,0,0
6b1d5bf3-13e4-4436-bf44-e60ede97f62a,c61844c9-d576-4ce0-a44e-48afcecd84b1,ATX,EATX | ATX | Micro ATX | Mini-ITX,DDR5,4,EATX Mid Tower,1,1
188c8b9c-d4ba-453d-b373-5272dc700020,092fb336-98b0-46af-a690-3a39d7ed60f5,ATX,Mini-ITX,DDR4,4,Mini ITX Tower,0,0
32a5eada-d13c-4b2b-af51-e6686486a0c9,975a71a7-ae6d-4371-b0eb-2fd5a515bbed,Micro ATX,Micro ATX | Mini-ITX,DDR3,2,Micro ATX Mid Tower,1,1
4ba12163-ff0c-4f1f-8829-d601dab583b2,98e24c5b-264d-4252-81c2-5a6d17441df0,EATX,ATX | Micro ATX | Mini-ITX,DDR4,8,ATX Full Tower,0,0
0502dd6a-fbc2-4989-885c-7db33f64724f,c75d341b-0a8d-4d1c-9998-9f28fb5e6ad1,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR5,2,ATX Mid Tower,1,1
b0faf23f-5c51-40c4-bef4-f04ab3f97d87,8a1d80f9-0ef5-4fe0-a67b-57c1fad6320a,ATX,Micro ATX | Mini-ITX,DDR5,4,Micro ATX Mini Tower,0,0
fdd2c8e8-7e21-439f-b192-26c561707cee,106ca590-0fc4-4521-83e1-5893c4752684,ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
cfe01b2c-e9fd-429a-974a-29b672a06a08,8cfaa079-9c84-4e82-a31c-bd329a569790,ATX,Micro ATX | Mini-ITX,DDR5,4,Micro ATX Mini Tower,0,0
c32bfbd6-6c34-4048-ba96-6664feef38e9,732b83a9-7c17-4be2-b156-c8d49c49955a,ATX,Micro ATX | Mini-ITX,DDR5,4,Micro ATX Mini Tower,0,0
f999de7c-44a1-47e0-a95d-b883737d430c,6a3b21da-e570-4cf4-8542-2c69246fa57b,Mini ITX,ATX | Micro ATX | Mini-ITX,DDR4,2,ATX Mid Tower,0,0
a072c501-99ac-4d16-8ea1-1bfc2c1b8539,2744aca0-077c-4823-8fb2-191077b2d462,ATX,ATX | Micro ATX | Mini-ITX | EATX,DDR4,4,ATX Full Tower,1,1
78c7ed68-d291-49b5-8fdc-cb4940a1faea,5913647f-a2be-4ae5-af40-f233620311c9,EATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,0,0
e8a66e2e-c53b-49d3-a31c-49a9ee8fe389,3ccdeed3-a4d9-4141-babe-b715614472bf,ATX,Mini-ITX | Micro ATX,DDR5,4,Micro ATX Mid Tower,0,0
cc519d61-0282-42c3-92a0-157345e42af0,8f318898-b451-4e72-8df5-8facfbda2a09,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR5,2,ATX Mid Tower,1,1
06e9d6ed-b409-48dc-a5fe-28e5e3c5a89d,644c88d4-4f3e-4eb2-af1c-d6aa7a016878,Micro ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mini Tower,1,1
3a91dd08-52f5-4cae-8ceb-b755af963818,d87dcb68-afb2-49fc-bf3e-0aa66e9df378,ATX,Mini-ITX,DDR4,4,Mini ITX Tower,0,0
e4e23f23-ec97-4073-9b79-bcfebd71404e,b94efae0-4891-4091-8fb8-71ea43d5d3f3,Mini ITX,ATX | Micro ATX | Mini-ITX,DDR4,2,ATX Mid Tower,0,0
9e2d4870-3704-49ae-8061-a01f996e704a,7dc87ba6-06e8-4a31-9316-ced51a9f2ade,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
588ff5cf-3480-4520-bcee-9556fcfd19aa,f12a5b1f-3f4c-43a9-b1c7-63304dd5fcde,ATX,Micro ATX | Mini-ITX,DDR3,4,Micro ATX Mid Tower,0,0
79e4fba6-fa3c-41c8-b6ed-a1d3d66f4811,424bf65a-7fd4-421b-8055-6e6500b640e8,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
dacf7800-6cf1-46d0-9627-d0e93e868690,6c8a56ec-a1c0-4906-af52-2ef72e7aa98d,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
c6d47f12-d515-4796-badc-a484788032fe,d9276c03-de62-4eaa-a294-acfded612cba,ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
4ba12163-ff0c-4f1f-8829-d601dab583b2,be3f6f03-8a91-4c42-90c0-cf677112d786,EATX,Micro ATX | Mini-ITX,DDR4,8,Micro ATX Mini Tower,0,0
309c2cf3-4b4b-4ea7-a276-54997301771c,7d2efd98-47b9-49d7-af45-03625310ecb0,ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
4f45e844-22c4-463e-a7af-9237bb595363,728c4e70-be73-491e-80f6-1a9713dc99a4,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
ffbb4a2d-9f10-4777-90db-6bf2442cd24e,6d545aac-afee-42c2-b213-7faeb07ed4cd,ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
3b3088d9-6558-46cd-912d-80543bd6a87f,9b6db1b1-0396-49e3-be4f-b53d6039ba47,ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mid Tower,0,0
807a5980-86ca-4239-b12b-a6b0a7b86709,40123653-aa99-4418-b914-966fbb8f8c29,ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mini Tower,0,0
1b40d0a9-38b7-4beb-bbaa-6faffe8f6640,c3b23fb1-06ab-43e8-b51b-3ef9b8f8d5ce,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Full Tower,1,1
7d6c8713-3233-41d3-9938-50b2efe21dda,299aae97-c906-4a2e-894d-6fa7986754dc,Mini ITX,ATX | Micro ATX | Mini-ITX,DDR3,4,ATX Mid Tower,0,0
9c63d451-65ce-4aeb-bf75-d387b219d62d,ff5dad4d-d3f6-4bb8-bdcd-fa2438ae277c,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR3,2,ATX Mid Tower,1,1
f652d5a9-5c9e-4f68-aeb1-be5cec81c2ff,47552372-8424-4f86-b966-012a92fe7243,Mini ITX,ATX | Micro ATX | Mini-ITX,DDR4,2,ATX Mid Tower,0,0
4d175367-6a41-4b67-8f4b-53de0c129cd5,99105841-725d-400a-84cc-3d00a42e9286,Micro ATX,ATX | Micro ATX | Mini-ITX | EATX,DDR4,4,ATX Mid Tower,1,1
7a419aa2-0903-42eb-8cf0-e1e4259cc6ca,0b743ec5-7bb8-44a8-815f-bbb2b6d448d6,Mini ITX,ATX | Micro ATX | Mini-ITX,DDR4,2,ATX Full Tower,0,0
4167d1c1-6a5b-470e-98bf-1ee5e9fac6a2,440467c0-840e-4e74-901f-818c50bd96fe,ATX,ATX | Micro ATX | Mini-ITX,DDR3,4,ATX Mid Tower,1,1
9327b8b4-90f7-4c54-a343-51674c3d3dea,42f58079-db51-4c60-95d7-fc6777967013,ATX,ATX | Micro ATX | Mini-ITX,DDR4,8,ATX Full Tower,1,1
c9899cf7-92e8-4dda-9e4f-df63aa235095,c7983737-8bab-46a1-a247-97b00f682107,ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
