psu_id,case_id,psu_wattage,psu_form_factor,psu_length,psu_efficiency,case_supported_psu,case_psu_clearance,psu_form_factor_match,psu_length_ok,label
f94132d9-fd94-4350-9ab7-5e31c204b517,842d8d1a-e71a-46be-b7e8-e96617882044,800.0,ATX,,80+ BRONZE,ATX,,1,-1,1
664405c2-d0c1-4258-8add-fc519184bd21,81721d18-7067-4bde-8b98-0f9c8cb25af9,1200.0,ATX,160.0,80+ PLATINUM,SFX | SFX-L,,0,-1,0
e21a2a17-bcd4-465f-b209-ade24bd4ed9e,1bd48682-e6ca-41a0-b07d-4c785f380acb,450.0,ATX,140.0,80+ BRONZE,ATX,220.0,1,1,1
496d766d-a255-4be4-8ed6-a95857fa2298,710aa4bc-84c4-4176-8d3f-287d510cbb63,500.0,ATX,140.0,80+ BRONZE,ATX,223.0,1,1,1
9cf32713-c466-43d1-8c61-23705d3328a2,18a08afb-dc9b-459a-8bf1-de148727e4d3,1200.0,ATX,200.0,80+ SILVER,ATX,220.0,1,1,1
21fb8fa1-dd70-4365-a69b-bc9433ec3f75,d21655d9-9b38-472c-9208-4c1e93381183,250.0,SFX,,,ATX,220.0,0,-1,0
68a66784-19c9-4564-b73a-175660911309,b4d77dab-cb42-4348-8206-e4fd473e34ca,650.0,ATX,140.0,80+ GOLD,ATX,,1,-1,1
35322f46-fc22-4b91-9c3e-d36554ca40e2,d21655d9-9b38-472c-9208-4c1e93381183,850.0,SFX,100.0,80+ PLATINUM,ATX,220.0,0,1,0
4958b25b-fa53-4635-9379-c5ed5be37a85,f9918e12-bbd5-4d30-97c7-2a3275954714,850.0,ATX,170.0,80+ GOLD,ATX,180.0,1,1,1
f6d93328-77ba-465f-bc3a-dafc2ac9f39c,71d9e671-5494-4ede-b0e0-5625804f70a0,730.0,ATX,160.0,80+ GOLD,ATX,150.0,1,0,0
70d3c1f3-6305-42bf-8c26-1f990f49da28,c1929670-8da8-4ecf-a40c-2e3116279251,450.0,SFX,100.0,80+ GOLD,ATX,180.0,0,1,0
7b5d57ad-ea07-49ab-bb52-ce0a9d059656,9bb5bd48-6564-4a15-bb8a-7d164f88ee49,600.0,ATX,140.0,80+ GOLD,Flex ATX,,0,-1,0
1d0a2ee5-e867-41cf-8ba9-98bd0ce0b5fb,53eceab5-26db-446d-984f-34f3590f3f17,850.0,ATX,140.0,80+ GOLD,ATX,220.0,1,1,1
