cooler_id,case_id,cooler_height,case_cooler_clearance,cooler_fan_size,cooler_fan_quantity,radiator_size,case_form_factor,height_difference,cooler_case_height_ok,label
02946667-908d-441a-92f5-1d7e64619da8,7a75d84a-05ad-4fbe-917a-7760d1436e30,155.0,185.0,,,,ATX Mid Tower,30.0,1,1
02cf116c-c99e-4943-a244-06d15b7d4e64,60ab1409-b7de-4c23-b855-b787c8b10aac,69.0,185.0,120.0,2,240.0,ATX Mid Tower,116.0,1,1
85ba018f-6e37-4f2e-98c3-6988544bf564,9fea13eb-b0cf-4474-a2b6-bac5bc776943,158.0,145.0,,,,ATX Mid Tower,-13.0,0,0
626f654a-aa7a-4c0c-9c00-ab916e4391cb,8520dfe1-6dcf-4978-92c3-f4f82ab2539b,165.0,160.0,,,,ATX Mid Tower,-5.0,0,0
ef543511-a2b4-4639-94d0-3226144f606a,ef1aef1c-79f7-41bf-a61c-cdf97ed07381,156.0,165.0,,,,ATX Mid Tower,9.0,1,1
67a40c13-08ea-4cf2-af25-25ad9e3fbe1b,39285a3d-4800-4e0f-abc9-e027a30ead20,158.0,195.0,,,,ATX Full Tower,37.0,1,1
cb1f5b0e-2fcd-49df-a680-772d936a91ce,73ae628d-0d71-4332-af5d-638b659cee50,158.0,170.0,,,,ATX Mid Tower,12.0,1,1
e6654154-2082-4a02-8a84-d9fe71d7be1c,2d7ef623-4253-467a-9767-d0afcec7b98c,159.0,279.0,,,,ATX Mid Tower,120.0,1,1
d71ffcf1-3745-4dff-bd14-0223b8709d4b,617c2ac3-e5da-4792-ad18-079eab3bb599,158.0,157.0,,,,ATX Mid Tower,-1.0,0,0
2b43bbb1-a6a9-41e7-8a92-fd0b2d948b3f,952d5c6a-d65b-4e26-9df5-f95ef09f1916,100.0,58.0,,,,HTPC,-42.0,0,0
b980e9a2-1410-48d8-98ce-6a37de69c000,6ee74e8f-a61d-43c2-ba63-42672dbbf95e,28.0,85.0,,,,Mini ITX Tower,57.0,1,1
dd172dec-b3a9-4f83-9b1e-88e19891df72,38128e27-09da-4be5-bb84-5b29685cebc1,160.0,145.0,,,,ATX Mid Tower,-15.0,0,0
3555b27d-b286-4f71-ba14-a0e377a66a92,e3db10ee-9cb2-4702-896e-8b815395c896,154.0,160.0,,,,ATX Mid Tower,6.0,1,1
464d79f5-7bc8-4384-bbf2-d36b44924679,6ee74e8f-a61d-43c2-ba63-42672dbbf95e,157.0,85.0,140.0,2,280.0,Mini ITX Tower,-72.0,0,0
848dabc7-c3c5-4cdf-b446-ea030552d130,723392ad-dd65-4543-9ed4-304e99e8fb80,159.0,190.0,,,,ATX Mid Tower,31.0,1,1
cb195dde-61d4-4050-ab5a-35687f52f9ae,2fa48d19-998d-47fc-a564-8c3443dbb494,118.0,165.0,120.0,3,360.0,Mini ITX Tower,47.0,1,1
dab93bbe-cd54-4566-a641-247d17935f75,0ed4c639-74e5-4be7-a359-90071c8c4dc3,47.0,170.0,,,240.0,ATX Mid Tower,123.0,1,1
ca93b849-46e8-4b51-a93a-72f17fe0c2f9,615933d9-fe81-4628-85f9-ba94a9913613,60.0,198.0,,,,ATX Full Tower,138.0,1,1
2fba3210-e717-400e-81f5-6da08a212b17,7a0e2f74-592b-4981-b825-2e33934d0232,73.0,184.0,,,,ATX Mid Tower,111.0,1,1
4f560877-3055-4bb8-845b-82a437c4033e,ceb65c11-0b5c-46eb-b0e0-9bf37a584052,161.0,150.0,,,,ATX Mid Tower,-11.0,0,0
eb6726a9-bd38-4f5a-81f0-b1273d96adc5,93ee5324-bcd5-4b9a-8017-389742543925,75.0,83.0,,,,Mini ITX Tower,8.0,1,1
63310a82-5af5-42da-b749-7a681fb87010,75165e0f-9f9a-4657-ba72-5699c15d4616,52.0,178.0,,,360.0,ATX Mid Tower,126.0,1,1
1418de1e-5d91-4338-9188-16b777ebddab,9bb5bd48-6564-4a15-bb8a-7d164f88ee49,155.0,38.0,120.0,2,,Mini ITX Tower,-117.0,0,0
4b751af0-0861-4016-8188-56c62e53f974,d9f40ae5-b61c-40e4-8de2-e259d68bf4ff,155.0,170.0,,,,ATX Mid Tower,15.0,1,1
75bc2007-3b79-41f0-bde9-3d573ba13923,603f47d4-68e1-420c-918a-127661f07c7b,153.0,85.0,,,,Mini ITX Tower,-68.0,0,0
db74551b-d839-40d6-9f51-ce8ed0b0e6a5,90be5302-e04c-4a6f-8c9e-825ab867b808,69.0,175.0,,,360.0,Mini ITX Tower,106.0,1,1
4ce6ee41-8837-48ad-b61c-4c4550b32115,176c9d50-d4f6-4833-86a3-ce00f1a52234,158.0,170.0,,,,ATX Mid Tower,12.0,1,1
7728ee09-0193-4a4a-8e84-5b78252cfb29,644c88d4-4f3e-4eb2-af1c-d6aa7a016878,159.0,75.0,,,,Micro ATX Mini Tower,-84.0,0,0
47e90be2-8c63-4d50-b2a3-4417a4be2295,2a87aa8b-beb1-4346-b4b6-67d5832d2634,130.0,175.0,,,,Micro ATX Mid Tower,45.0,1,1
cd1fd5df-7bfb-4985-83c8-e2e0c49ad29f,67f2d029-a7b1-4f33-a690-9e22b93ebc26,165.0,57.0,,,,Mini ITX Tower,-108.0,0,0
9dc6cb8a-5db6-4709-8cd5-b738a9e63e78,695f4f5d-0820-4d08-8fce-9facc6a019e2,70.0,170.0,,,280.0,ATX Mid Tower,100.0,1,1
514301c6-2edb-4b03-8c42-7d1a74b14a24,e2ad11d7-f08e-4142-b7e9-48aec125a332,168.0,190.0,120.0,,,ATX Full Tower,22.0,1,1
53130153-5739-484d-9d96-ba55f940aac2,4523d6b2-32c4-4fce-bd21-13ff9ff78883,160.0,150.0,,,,ATX Mid Tower,-10.0,0,0
17cde4ff-2e92-4003-b1e9-b4c239fc1276,078038c2-00fc-4f4f-b3f4-b67f9594e7d0,65.0,163.0,,,,ATX Mid Tower,98.0,1,1
55a3ceac-a1cf-46e8-b520-b056be8db1c3,75b9f377-0218-46ca-a22d-815072d5d402,80.0,165.0,120.0,2,240.0,ATX Mid Tower,85.0,1,1
ed24b15b-3a3f-4b54-b26a-d24d20fee39c,73ae628d-0d71-4332-af5d-638b659cee50,170.0,170.0,,,,ATX Mid Tower,0.0,1,1
87ef9368-befd-4f04-a6ab-bc8c47c27b4f,a9a7af26-c01f-4e07-b4d1-fcb6ce43c01d,161.0,160.0,,,,EATX Mid Tower,-1.0,0,0
c803a85a-f7c9-4947-ac45-506455f14b74,1302d6b5-e06e-4bca-9c40-ccb40499c19d,135.0,163.0,,,,ATX Mid Tower,28.0,1,1
c0e697ca-8011-4322-8790-28a597399e0f,579d31fe-be5a-490f-ad1a-3f22705329fe,69.0,180.0,,,240.0,ATX Mid Tower,111.0,1,1
ae5122cf-0996-4a39-8dd0-6688868a66df,6ee74e8f-a61d-43c2-ba63-42672dbbf95e,117.0,85.0,,,,Mini ITX Tower,-32.0,0,0
a28eb5bb-f6b7-4c38-a1f7-9a70e7efdb57,695f4f5d-0820-4d08-8fce-9facc6a019e2,161.0,170.0,,,,ATX Mid Tower,9.0,1,1
fc70b465-9b69-4821-a3e2-0200c28e1a01,2bf2cddc-4994-4aa0-8cdf-f9aa60a27862,63.0,157.0,,,360.0,Micro ATX Mini Tower,94.0,1,1
1756255a-ea8f-467a-a7bb-c94dd09f3575,fd263975-75c0-473d-964c-71b1df4ad722,136.0,170.0,,,,ATX Mid Tower,34.0,1,1
eb6726a9-bd38-4f5a-81f0-b1273d96adc5,56891729-857b-4606-a555-923b4ed32ec3,75.0,68.0,,,,Mini ITX Tower,-7.0,0,0
8ede9b49-9468-48c8-8971-785177b8533e,1aa9cbce-b6c3-4156-9381-27ef418281e3,154.0,145.0,,,,ATX Mid Tower,-9.0,0,0
017fed0c-f516-4a5b-9659-c9948c0c2c42,38e339fe-c451-45e8-9d8a-d7f119855b70,137.0,165.0,120.0,3,360.0,ATX Mid Tower,28.0,1,1
db74551b-d839-40d6-9f51-ce8ed0b0e6a5,2b9f3872-9f5f-4574-87e0-de621b7e39cd,69.0,48.0,,,360.0,Mini ITX Tower,-21.0,0,0
acb672ba-0eca-44c2-9b74-57440606761a,6978851b-d1de-4c02-bbb0-1128a15a6236,68.5,165.0,120.0,3,360.0,ATX Mid Tower,96.5,1,1
623178e3-0bf5-41d0-8fde-961d6b32eb4c,b941e54b-9af8-4a57-9abe-dcda02c5f2f8,158.0,190.0,,,,ATX Mid Tower,32.0,1,1
e7ab12cb-8684-44fd-bf88-9c559dd28ee4,55b94e26-2495-4727-acff-6ac025396bcd,60.0,165.0,,,360.0,ATX Mid Tower,105.0,1,1
306a6133-8840-498e-891c-09a774cba1a4,7a39c2c3-d65c-431f-bb74-ca13246e2026,160.0,158.0,135.0,1,,Micro ATX Mini Tower,-2.0,0,0
1dfb3d2c-1442-46db-857f-83807a8e1ab3,9dba9df9-0c3d-477e-a62e-76830c1faa66,159.0,167.0,,,,Micro ATX Mini Tower,8.0,1,1
8908edb7-df51-4964-bca7-886e8bdba9da,22b8e493-ec73-4a3b-a6ca-67d1fcb8ad5c,123.0,170.0,,,,ATX Mid Tower,47.0,1,1
97801e92-8d29-4c20-9f5a-f2a740f0cc37,43b242ae-4f6f-4c6e-81b0-81068b9bee51,55.0,180.0,,,,ATX Mid Tower,125.0,1,1
5cf5a646-65e8-4158-ac72-2cbd56aed5ab,617c2ac3-e5da-4792-ad18-079eab3bb599,154.0,157.0,,,,ATX Mid Tower,3.0,1,1
0f273a9e-86f4-4f36-a21a-8dab73a8352b,a9204526-28ce-4a32-9940-2a1eda41372c,156.0,190.0,,,,EATX Full Tower,34.0,1,1
3d56b637-d41c-4dfd-899f-a45d2615ed7f,79f10ddb-49c4-495f-957a-926350d72ae4,158.0,90.0,,,,Micro ATX Desktop,-68.0,0,0
05811290-84ab-4408-a6d0-5ebb7cfa8da3,7e30d688-d0fa-4df1-9eb3-6dbd75cc2cd4,169.0,68.0,,,,Mini ITX Tower,-101.0,0,0
b8e60113-a888-4ab6-9631-b0a68c6c2550,bb32b5f1-8400-41fd-a526-008e0fdf5474,158.0,58.0,,,,HTPC,-100.0,0,0
389c474e-ceb1-4f8a-9393-6ee435a88e6c,30601755-53c7-4926-b1bd-6be107fb7a79,148.0,165.0,,,,ATX Mid Tower,17.0,1,1
464abb13-8c6e-4eb7-8f61-54d9534969fd,5cbbac79-9f5a-493a-a051-888ec45756ab,158.0,146.0,,,,HTPC,-12.0,0,0
